ID,gridSize,numAgents,inSectorPath,gridCovered,numCollisions,allPathsValid,percentExtra,stdDeviation,average
1,15,8,true,true,0,false,17.00,0.54,32.50
2,21,8,true,true,0,false,12.00,0.64,61.12
3,21,16,true,true,0,false,28.00,3.99,33.75
4,31,8,true,true,0,false,7.00,0.54,128.50
5,31,16,true,true,0,false,17.00,6.30,68.56
6,31,24,true,true,0,false,30.00,7.55,49.42
7,51,8,true,true,0,false,4.00,0.54,338.50
8,51,16,true,true,0,false,9.00,10.75,175.75
9,51,24,true,true,0,false,16.00,13.06,123.00
10,51,32,true,true,0,false,22.00,9.63,96.06
11,51,40,true,true,0,false,31.00,9.08,80.60
12,51,48,true,true,0,false,40.00,8.37,70.42
13,61,8,true,true,0,false,4.00,0.64,481.12
14,61,16,true,true,0,false,7.00,12.88,248.12
15,61,24,true,true,0,false,13.00,16.09,171.96
16,61,32,true,true,0,false,18.00,11.92,133.53
17,61,40,true,true,0,false,24.00,11.07,111.12
18,61,48,true,true,0,false,31.00,10.20,96.38
19,61,56,true,true,0,false,38.00,12.43,85.29
20,71,8,true,true,0,false,3.00,0.54,648.50
21,71,16,true,true,0,false,6.00,15.21,332.94
22,71,24,true,true,0,false,10.00,19.24,229.54
23,71,32,true,true,0,false,15.00,14.14,177.25
24,71,40,true,true,0,false,20.00,13.01,146.60
25,71,48,true,true,0,false,25.00,12.05,126.10
26,71,56,true,true,0,false,31.00,15.15,111.18
27,71,64,true,true,0,false,37.00,17.50,100.28
28,81,8,true,true,0,false,3.00,0.64,841.12
29,81,16,true,true,0,false,5.00,17.33,430.31
30,81,24,true,true,0,false,9.00,22.35,295.54
31,81,32,true,true,0,false,13.00,15.99,227.22
32,81,40,true,true,0,false,17.00,15.00,187.12
33,81,48,true,true,0,false,21.00,13.91,160.42
34,81,56,true,true,0,false,26.00,17.74,140.88
35,81,64,true,true,0,false,31.00,21.13,126.34
36,81,72,true,true,0,false,37.00,15.74,116.00
37,91,8,true,true,0,false,2.00,0.54,1058.50
38,91,16,true,true,0,false,5.00,19.67,540.12
39,91,24,true,true,0,false,8.00,25.67,369.50
40,91,32,true,true,0,false,11.00,18.04,283.41
41,91,40,true,true,0,false,15.00,16.94,232.65
42,91,48,true,true,0,false,18.00,15.56,198.85
43,91,56,true,true,0,false,22.00,20.60,174.00
44,91,64,true,true,0,false,26.00,25.12,155.64
45,91,72,true,true,0,false,31.00,18.27,142.25
46,91,80,true,true,0,false,36.00,15.61,131.55
47,91,88,true,true,0,false,41.00,16.09,122.58
48,101,8,true,true,0,false,2.00,0.64,1301.12
49,101,16,true,true,0,false,4.00,21.79,662.50
50,101,24,true,true,0,false,7.00,28.84,452.08
51,101,32,true,true,0,false,10.00,20.33,345.88
52,101,40,true,true,0,false,13.00,18.92,283.12
53,101,48,true,true,0,false,16.00,17.01,241.33
54,101,56,true,true,0,false,19.00,23.61,210.79
55,101,64,true,true,0,false,23.00,29.34,188.11
56,101,72,true,true,0,false,27.00,20.60,171.57
57,101,80,true,true,0,false,31.00,17.44,158.05
58,101,88,true,true,0,false,36.00,18.15,146.80
59,101,96,true,true,0,false,40.00,26.54,137.01
