ID,separation,gridSize,numAgents,pattern,foodX,foodY,initDepTS,foodDiscoveryTS,firstCommTS,firstTransTS,FoodTransportedTS
219,0-20,128,16,1,52,79,128,552,560,624,1012
220,0-20,128,16,1,44,79,128,488,496,560,972
221,20-40,128,16,1,84,40,128,801,808,880,1342
222,20-40,128,16,1,61,109,128,619,632,720,1247
223,20-40,128,16,1,98,50,128,918,928,992,1503
224,20-40,128,16,1,85,47,128,809,816,880,1299
225,20-40,128,16,1,44,79,128,488,496,560,972
226,20-40,128,16,1,100,77,128,934,944,1008,1543
227,20-40,128,16,1,60,100,128,612,624,704,1140
228,20-40,128,16,1,55,98,128,571,584,672,1178
229,20-40,128,16,1,65,108,128,652,664,752,1268
230,20-40,128,16,1,95,52,128,893,904,960,1430
231,20-40,128,16,1,57,38,128,591,600,672,984
232,20-40,128,16,1,43,86,128,479,488,560,1023
233,20-40,128,16,1,107,68,128,989,1000,1056,1582
234,20-40,128,16,1,73,87,128,720,728,800,1146
235,20-40,128,16,1,99,64,128,921,928,976,1401
236,20-40,128,16,1,76,35,128,741,752,832,1251
237,20-40,128,16,1,96,67,128,901,912,960,1381
238,20-40,128,16,1,99,77,128,923,936,992,1534
239,20-40,128,16,1,84,46,128,807,816,880,1301
240,20-40,128,16,1,82,50,128,790,800,864,1257
241,40-60,128,16,1,75,19,128,732,744,832,1408
242,40-60,128,16,1,77,9,128,751,752,864,1590
243,40-60,128,16,1,54,3,128,565,584,689,1461
244,40-60,128,16,1,122,48,128,1112,1120,1180,2037
245,40-60,128,16,1,92,104,128,865,872,960,1723
246,40-60,128,16,1,76,119,128,737,737,848,1574
247,40-60,128,16,1,105,36,128,973,984,1056,1838
248,40-60,128,16,1,103,31,128,953,960,1040,1849
249,40-60,128,16,1,30,46,128,375,384,448,1017
250,40-60,128,16,1,52,16,128,552,560,656,1300
251,40-60,128,16,1,118,51,128,1077,1088,1152,1907
252,40-60,128,16,1,63,6,128,639,648,753,1371
253,40-60,128,16,1,95,27,128,893,904,992,1760
254,40-60,128,16,1,53,12,128,556,560,672,1338
255,40-60,128,16,1,8,80,128,200,208,272,1096
256,40-60,128,16,1,123,74,128,1118,1128,1180,1970
257,40-60,128,16,1,69,110,128,682,696,784,1348
258,40-60,128,16,1,111,39,128,1024,1032,1104,1914
259,40-60,128,16,1,95,94,128,890,904,976,1662
260,40-60,128,16,1,30,102,128,370,384,464,1310
261,60-80,128,16,1,100,12,128,933,944,1040,2056
262,60-80,128,16,1,112,113,128,1031,1040,1136,2214
263,60-80,128,16,1,107,11,128,989,992,1104,2220
264,60-80,128,16,1,16,105,128,258,272,368,1403
265,60-80,128,16,1,114,36,128,1044,1056,1136,2035
266,60-80,128,16,1,11,111,128,217,224,320,1508
267,60-80,128,16,1,27,18,128,347,360,448,1346
268,60-80,128,16,1,35,12,128,412,416,528,1420
269,60-80,128,16,1,24,3,128,325,344,449,1608
270,60-80,128,16,1,117,112,128,1065,1072,1166,2288
271,60-80,128,16,1,6,22,128,178,192,288,1382
272,60-80,128,16,1,118,98,128,1078,1088,1166,2153
273,60-80,128,16,1,84,7,128,801,808,913,1770
274,60-80,128,16,1,15,33,128,250,264,336,1252
275,60-80,128,16,1,43,16,128,473,480,576,1338
276,60-80,128,16,1,6,89,128,178,192,272,1251
277,60-80,128,16,1,114,115,128,1045,1056,1152,2301
278,60-80,128,16,1,80,2,128,774,792,897,1770
279,60-80,128,16,1,18,13,128,278,288,384,1472
280,60-80,128,16,1,3,94,128,154,168,240,1310
281,80-100,128,16,1,125,11,128,1133,1136,1236,2594
282,80-100,128,16,1,10,121,128,210,232,336,1622
283,80-100,128,16,1,12,123,128,228,248,352,1637
284,80-100,128,16,1,13,124,128,236,248,352,1658
285,80-100,128,16,1,4,127,128,168,184,288,1744
286,80-100,128,16,1,122,6,128,1106,1128,1223,2604
287,80-100,128,16,1,11,0,128,217,232,337,1682
288,80-100,128,16,1,7,119,128,192,192,304,1601
289,80-100,128,16,1,16,3,128,261,280,385,1632
290,80-100,128,16,1,123,1,128,1114,1128,1223,2680
291,80-100,128,16,1,107,124,128,988,1000,1104,2230
292,80-100,128,16,1,3,108,128,156,168,256,1492
293,80-100,128,16,1,115,116,128,1053,1056,1166,2286
294,80-100,128,16,1,120,12,128,1093,1104,1194,2482
295,80-100,128,16,1,118,114,128,1078,1088,1180,2337
296,80-100,128,16,1,0,127,128,136,152,256,1764
297,80-100,128,16,1,116,3,128,1061,1080,1181,2518
298,80-100,128,16,1,16,6,128,258,280,385,1593
299,80-100,128,16,1,11,6,128,223,232,337,1597
300,80-100,128,16,1,6,110,128,183,192,288,1504
